tconst	averageRating	numVotes
tt0000672	6.2	12
tt0000674	4.5	26
tt0000675	4.2	9
tt0000676	3.6	8
tt0000679	4.8	32
tt0000680	6.2	12
tt0000681	5.9	8
tt0000682	6.9	1931
tt0000683	5.5	37
tt0000684	5.1	58
tt0000685	5.8	14
tt0000689	6.2	16
tt0000690	6.1	12
tt0000694	4.8	16
tt0000695	5.7	19
tt0000697	5.5	8
tt0000698	4.7	7
tt0000699	5.4	8
tt0000700	5.4	37
tt0000704	5.5	10
tt0000706	5.1	12
tt0000707	5.4	8
tt0000708	4.8	8
tt0000709	5.3	18
tt0000711	4.4	5
tt0000713	6.0	6
tt0000717	6.0	6
tt0000720	6.4	9
tt0000722	4.7	6
tt0000724	5.2	29
tt0000727	6.1	10
tt0000728	5.8	66
tt0000730	5.9	26
tt0000731	4.4	10
tt0000733	6.2	13
tt0000736	5.4	5
tt0000737	5.3	12
tt0000738	7.8	11
tt0000739	6.2	8
tt0000740	5.5	8
tt0000741	5.4	8
tt0000743	6.2	5
tt0000746	7.2	10
tt0000747	4.6	8
tt0000748	5.9	14
tt0000749	5.7	589
tt0000752	5.5	72
tt0000754	7.1	35
tt0000755	5.7	136
tt0000756	5.4	74
tt0000758	6.0	16
tt0000759	7.6	7
tt0000762	6.0	6
tt0000764	6.1	82
tt0000765	5.8	5
tt0000767	6.5	8
tt0000769	5.3	106
tt0000770	5.8	85
tt0000771	5.7	11
tt0000772	6.1	9
tt0000775	7.5	6
tt0000776	5.4	41
tt0000778	6.5	6
tt0000779	5.7	6
tt0000781	6.2	9
tt0000782	8.3	13
tt0000784	6.0	6
tt0000785	5.6	24
tt0000787	5.1	8
tt0000789	5.1	23
tt0000790	6.2	245
tt0000792	4.7	15
tt0000793	4.3	7
tt0000797	5.4	74
tt0000798	4.0	8
tt0000800	5.3	36
tt0000801	5.1	15
tt0000807	4.6	12
tt0000809	6.0	21
tt0000815	4.5	11
tt0000816	4.8	53
tt0000817	3.2	9
tt0000819	5.2	13
tt0000821	4.6	46
tt0000823	4.4	13
tt0000825	4.4	11
tt0000826	4.3	10
tt0000827	4.8	20
tt0000828	5.1	45
tt0000829	4.2	12
tt0000831	5.2	65
tt0000832	6.6	1940
tt0000833	6.4	478
tt0000835	4.9	72
tt0000836	4.8	37
tt0000837	5.0	9
tt0000840	5.5	227
tt0000841	5.5	17
tt0000843	5.2	9
tt0000844	7.4	7
tt0000845	4.4	9
tt0000847	5.9	8
tt0000848	6.0	13
tt0000851	4.9	10
tt0000852	5.8	130
tt0000853	5.1	8
tt0000854	6.0	349
tt0000855	5.1	8
tt0000857	4.6	7
tt0000858	4.6	7
tt0000860	4.8	18
tt0000861	4.9	12
tt0000862	4.6	9
tt0000864	5.5	11
tt0000866	6.6	5
tt0000870	5.1	12
tt0000871	5.6	48
tt0000873	5.8	6
tt0000874	4.7	9
tt0000875	4.2	8
tt0000877	5.0	39
tt0000878	4.9	108
tt0000880	5.9	29
tt0000882	6.0	125
tt0000884	3.5	6
tt0000886	5.2	19
tt0000887	4.4	18
tt0000890	6.8	13
tt0000891	5.1	17
tt0000892	5.6	34
tt0000893	6.5	18
tt0000895	5.6	122
tt0000897	6.0	18
tt0000898	4.7	6
tt0000901	4.4	5
tt0000904	5.3	76
tt0000905	4.6	5
tt0000908	6.0	10
tt0000910	4.7	7
tt0000911	2.9	7
tt0000912	4.3	30
tt0000916	6.5	39
tt0000921	4.9	7
tt0000922	5.7	64
tt0000924	6.1	113
tt0000928	5.4	59
tt0000929	5.5	29
tt0000930	4.6	5
tt0000932	3.2	5
tt0000933	4.8	19
tt0000934	4.0	7
tt0000935	6.1	48
tt0000936	7.0	37
tt0000938	4.4	123
tt0000939	4.9	8
tt0000941	4.3	9
tt0000942	6.1	705
tt0000944	3.8	5
tt0000945	4.6	39
tt0000946	4.6	40
tt0000950	3.6	8
tt0000954	5.0	5
tt0000957	6.5	29
tt0000960	4.6	203
tt0000961	8.0	12
tt0000964	4.5	6
tt0000966	5.7	273
tt0000969	5.8	12
tt0000970	5.7	46
tt0000971	6.1	106
tt0000972	5.6	37
tt0000974	5.0	22
tt0000975	5.0	5
tt0000976	4.0	8
tt0000979	4.9	13
tt0000981	5.7	15
tt0000986	5.1	74
tt0000987	7.8	6
tt0000988	4.0	6
tt0000989	4.6	13
tt0000990	6.1	38
tt0000992	4.6	8
tt0000995	6.5	6
tt0000997	6.2	6
tt0000998	5.2	8
tt0001000	5.2	12
tt0001001	5.6	63
tt0001002	4.7	64
tt0001008	5.2	9
tt0001009	6.5	791
tt0001013	5.9	281
tt0001014	5.0	72
tt0001015	3.9	8
tt0001016	5.6	73
tt0001025	7.2	5
tt0001027	5.2	5
tt0001028	4.0	8
tt0001029	5.1	25
tt0001032	6.1	649
tt0001033	4.7	6
tt0001035	4.9	17
tt0001036	2.8	6
tt0001037	3.4	11
tt0001038	4.0	12
tt0001041	5.6	10
tt0001044	5.8	66
tt0001045	4.7	7
tt0001049	3.6	8
tt0001050	5.3	47
tt0001053	5.4	5
tt0001054	5.9	12
tt0001058	4.6	8
tt0001061	5.9	12
tt0001062	6.1	943
tt0001063	5.0	5
tt0001064	4.8	10
tt0001066	3.8	5
tt0001067	5.6	5
tt0001071	5.8	5
tt0001072	5.6	203
tt0001074	5.6	10
tt0001076	5.1	10
tt0001078	6.1	14
tt0001079	3.8	5
tt0001083	5.4	81
tt0001084	5.1	124
tt0001085	4.8	5
tt0001086	5.6	5
tt0001088	5.1	38
tt0001089	8.2	18
tt0001090	6.4	5
tt0001091	5.5	138
tt0001092	5.9	11
tt0001098	5.9	7
tt0001101	4.5	14
tt0001103	5.6	12
tt0001104	5.0	12
tt0001105	6.5	677
tt0001106	6.2	50
tt0001107	5.9	20
tt0001111	4.4	9
tt0001112	3.3	14
tt0001113	5.6	8
tt0001115	4.7	11
tt0001116	4.9	9
tt0001117	5.9	7
tt0001118	5.5	120
tt0001120	5.6	142
tt0001121	4.6	13
tt0001122	5.2	8
tt0001129	5.0	14
tt0001135	4.8	20
tt0001143	4.7	12
tt0001144	4.6	11
tt0001145	5.8	5
tt0001150	5.3	47
tt0001151	4.2	12
tt0001152	4.5	13
tt0001153	4.5	11
tt0001156	4.3	9
tt0001159	5.6	8
tt0001161	4.5	10
tt0001165	4.4	7
tt0001175	5.6	21
tt0001176	4.2	8
tt0001184	3.1	11
tt0001185	7.0	14
tt0001186	5.2	43
tt0001187	4.4	8
tt0001190	6.6	8
tt0001195	4.6	5
tt0001200	4.5	14
tt0001202	4.6	7
tt0001206	6.0	10
tt0001207	5.6	76
tt0001211	5.5	26
tt0001216	4.6	8
tt0001217	5.8	36
tt0001218	5.3	69
tt0001223	6.4	3272
tt0001227	5.7	174
tt0001230	5.0	8
tt0001234	5.4	12
tt0001236	4.6	11
tt0001237	4.4	24
tt0001240	3.6	12
tt0001241	5.0	7
tt0001242	5.6	8
tt0001245	5.3	32
tt0001253	5.6	5
tt0001254	4.4	5
tt0001256	5.9	421
tt0001258	5.7	70
tt0001262	4.5	8
tt0001264	7.0	40
tt0001265	6.4	420
tt0001277	4.8	10
tt0001280	4.7	13
tt0001282	6.7	15
tt0001283	6.1	8
tt0001284	4.9	18
tt0001285	5.1	30
tt0001292	5.0	30
tt0001294	7.2	5
tt0001299	3.4	7
